Order # ,订单 #,module,Cleargo_AdminTheme
Order Date: ,订购日期：,module,Cleargo_AdminTheme
Sold to:,卖给：,module,Cleargo_AdminTheme
Ship to:,送货到：,module,Cleargo_AdminTheme
Payment Method:,支付方式:,module,Cleargo_AdminTheme
Payment Method,支付方式,module,Cleargo_AdminTheme
Shipping Method:,送货方法：,module,Cleargo_AdminTheme
Total Shipping Charges,总运费,module,Cleargo_AdminTheme
Carrier,运输商,module,Cleargo_AdminTheme
Tracking Number,追踪编号,module,Cleargo_AdminTheme
English,英文,module,Cleargo_Asiapay
Traditional Chinese,繁体中文,module,Cleargo_Asiapay
Simplified Chinese,简体中文,module,Cleargo_Asiapay
Japanese,日文,module,Cleargo_Asiapay
Thai,泰文,module,Cleargo_Asiapay
French,法文,module,Cleargo_Asiapay
German,德文,module,Cleargo_Asiapay
Russian,俄文,module,Cleargo_Asiapay
Spanish,西班牙文,module,Cleargo_Asiapay
Vietnamese,越南文,module,Cleargo_Asiapay
Enabled,在线,module,Cleargo_Asiapay
Disabled,下线,module,Cleargo_Asiapay
Credit Card,信用卡,module,Cleargo_Asiapay
Visa,Visa,module,Cleargo_Asiapay
MasterCard,万事达卡,module,Cleargo_Asiapay
JCB,JCB信用卡,module,Cleargo_Asiapay
Diners,Diners信用卡,module,Cleargo_Asiapay
PPS,缴费灵,module,Cleargo_Asiapay
PayPal,PayPal,module,Cleargo_Asiapay
China UnionPay,中国银联,module,Cleargo_Asiapay
ALIPAY,支付宝,module,Cleargo_Asiapay
99BILL,99BILL,module,Cleargo_Asiapay
MEPS,MEPS,module,Cleargo_Asiapay
SCB,渣打银行,module,Cleargo_Asiapay
Bill Payment,缴费,module,Cleargo_Asiapay
Krung thai Bank,泰京银行,module,Cleargo_Asiapay
United Oversea bank,大华银行,module,Cleargo_Asiapay
Bank of Ayudhya,大城银行,module,Cleargo_Asiapay
TMB Bank,TMB银行,module,Cleargo_Asiapay
Bangkok Bank iBanking,泰国盘谷银行网上理财,module,Cleargo_Asiapay
UPOP,银联,module,Cleargo_Asiapay
M2U,M2U,module,Cleargo_Asiapay
CIMBCLICK,联昌银行,module,Cleargo_Asiapay
OCTOPUS,八达通,module,Cleargo_Asiapay
WECHAT,微信,module,Cleargo_Asiapay
ONEPAY,ONEPAY,module,Cleargo_Asiapay
VISA Checkout,VISA结账,module,Cleargo_Asiapay
